Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I1_5,*,PASS,*,QUAL,*,0.005401,0.707965,0.496329,0.01072,425,0,2809068885,5110294.000000,0.000000,256629,.,.,133851.000000,98778.000000,,1.35506894248,1386,.,.,422.000000,893.000000,,0.472564389698,255243,.,.,133429.000000,97885.000000,,1.36311998774,3814,.,.,1645.000000,2097.000000,,0.784453981879,1360,.,.,448.000000,887.000000,,0.505073280722,561,.,.,103.000000,442.000000,,0.233031674208,1893,.,.,1094.000000,768.000000,,1.42447916667
INDEL,I1_5,TS_boundary,ALL,*,QUAL,*,0.370968,0.5,0.896552,0.425926,3,0,3030848912.000000,5110294.000000,0.000000,62,.,.,36.000000,10.000000,,3.6,23,.,.,15.000000,4.000000,,3.75,39,.,.,21.000000,6.000000,,3.5,58,.,.,38.000000,20.000000,,1.9,3,.,.,2.000000,1.000000,,2.0,3,.,.,2.000000,1.000000,,2.0,52,.,.,34.000000,18.000000,,1.88888888889
INDEL,I1_5,TS_boundary,PASS,*,QUAL,*,0.354839,0.666667,0.918919,0.463158,1,0,3030848912.000000,5110294.000000,0.000000,62,.,.,36.000000,10.000000,,3.6,22,.,.,14.000000,4.000000,,3.5,40,.,.,22.000000,6.000000,,3.66666666667,37,.,.,24.000000,13.000000,,1.84615384615,2,.,.,1.000000,1.000000,,1.0,1,.,.,1.000000,0.000000,,,34,.,.,22.000000,12.000000,,1.83333333333
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.006139,0.677629,0.0,0.012167,558,0,5110294.000000,5110294.000000,0.000000,256567,.,.,133815.000000,98768.000000,,1.35484164912,1575,.,.,453.000000,1049.000000,,0.431839847474,254992,.,.,133362.000000,97719.000000,,1.36474994627,2311,.,.,633.000000,1615.000000,,0.391950464396,1566,.,.,491.000000,1045.000000,,0.46985645933,745,.,.,142.000000,570.000000,,0.249122807018,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.005316,0.708029,0.0,0.010553,424,0,5110294.000000,5110294.000000,0.000000,256567,.,.,133815.000000,98768.000000,,1.35484164912,1364,.,.,408.000000,889.000000,,0.458942632171,255203,.,.,133407.000000,97879.000000,,1.36297877992,1918,.,.,549.000000,1328.000000,,0.413403614458,1358,.,.,447.000000,886.000000,,0.504514672686,560,.,.,102.000000,442.000000,,0.230769230769,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,ALL,*,QUAL,*,0.006497,0.593315,0.556242,0.012854,112,0,2809068885,5110294.000000,0.000000,32936,.,.,14789.000000,8261.000000,,1.7902191018,214,.,.,66.000000,110.000000,,0.6,32722,.,.,14723.000000,8151.000000,,1.80628143786,809,.,.,302.000000,391.000000,,0.772378516624,213,.,.,74.000000,110.000000,,0.672727272727,146,.,.,34.000000,90.000000,,0.377777777778,450,.,.,194.000000,191.000000,,1.01570680628
INDEL,I6_15,*,PASS,*,QUAL,*,0.006224,0.630094,0.51446,0.012327,94,0,2809068885,5110294.000000,0.000000,32936,.,.,14789.000000,8261.000000,,1.7902191018,205,.,.,62.000000,107.000000,,0.579439252336,32731,.,.,14727.000000,8154.000000,,1.80610743194,657,.,.,239.000000,338.000000,,0.707100591716,201,.,.,66.000000,106.000000,,0.622641509434,118,.,.,26.000000,77.000000,,0.337662337662,338,.,.,147.000000,155.000000,,0.948387096774
INDEL,I6_15,TS_boundary,ALL,*,QUAL,*,0.428571,0.5,0.764706,0.461538,2,0,3030848912.000000,5110294.000000,0.000000,14,.,.,8.000000,3.000000,,2.66666666667,6,.,.,4.000000,1.000000,,4.0,8,.,.,4.000000,2.000000,,2.0,17,.,.,15.000000,1.000000,,15.0,2,.,.,2.000000,0.000000,,,2,.,.,1.000000,1.000000,,1.0,13,.,.,12.000000,0.000000,,
INDEL,I6_15,TS_boundary,PASS,*,QUAL,*,0.428571,0.5,0.833333,0.461538,1,0,3030848912.000000,5110294.000000,0.000000,14,.,.,8.000000,3.000000,,2.66666666667,6,.,.,4.000000,1.000000,,4.0,8,.,.,4.000000,2.000000,,2.0,12,.,.,11.000000,1.000000,,11.0,1,.,.,1.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,10,.,.,10.000000,0.000000,,
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.006318,0.594366,0.0,0.012503,110,0,5110294.000000,5110294.000000,0.000000,32922,.,.,14781.000000,8258.000000,,1.78990070235,208,.,.,62.000000,109.000000,,0.56880733945,32714,.,.,14719.000000,8149.000000,,1.80623389373,355,.,.,105.000000,199.000000,,0.527638190955,211,.,.,72.000000,110.000000,,0.654545454545,144,.,.,33.000000,89.000000,,0.370786516854,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.006045,0.630915,0.0,0.011974,93,0,5110294.000000,5110294.000000,0.000000,32922,.,.,14781.000000,8258.000000,,1.78990070235,199,.,.,58.000000,106.000000,,0.547169811321,32723,.,.,14723.000000,8152.000000,,1.80605986261,317,.,.,91.000000,182.000000,,0.5,200,.,.,65.000000,106.000000,,0.61320754717,117,.,.,26.000000,76.000000,,0.342105263158,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.010621,0.818994,0.385518,0.02097,7987,0,2809068885,5110294.000000,0.000000,3460128,2342859.000000,1118052.000000,2117525.000000,1341165.000000,2.09548303657,1.57886986314,36750,25116.000000,11642.000000,16348.000000,20391.000000,2.15736127813,0.801726251778,3423378,2317743.000000,1106410.000000,2101177.000000,1320774.000000,2.09483193391,1.59086793047,73086,46079.000000,27069.000000,31759.000000,41236.000000,1.70227936015,0.770176544767,36781,25128.000000,11661.000000,16366.000000,20404.000000,2.15487522511,0.802097627916,8129,5557.000000,2573.000000,125.000000,8003.000000,2.15973571706,0.0156191428214,28176,15394.000000,12835.000000,15268.000000,12829.000000,1.19937670432,1.19011614311
SNP,*,*,PASS,*,QUAL,*,0.01062,0.819215,0.383626,0.020968,7985,0,2809068885,5110294.000000,0.000000,3460128,2342859.000000,1118052.000000,2117525.000000,1341165.000000,2.09548303657,1.57886986314,36747,25115.000000,11640.000000,16347.000000,20389.000000,2.15764604811,0.801755848742,3423381,2317744.000000,1106412.000000,2101178.000000,1320776.000000,2.09482905102,1.59086627861,72834,45978.000000,26916.000000,31698.000000,41047.000000,1.70820329915,0.772236704266,36777,25127.000000,11658.000000,16364.000000,20402.000000,2.15534396981,0.802078227625,8116,5548.000000,2569.000000,119.000000,7996.000000,2.15959517322,0.0148824412206,27941,15303.000000,12689.000000,15215.000000,12649.000000,1.20600520136,1.20286188632
SNP,*,TS_boundary,ALL,*,QUAL,*,0.294118,0.418605,0.472393,0.345489,32,0,3030848912.000000,5110294.000000,0.000000,68,37.000000,31.000000,47.000000,20.000000,1.1935483871,2.35,20,11.000000,9.000000,5.000000,15.000000,1.22222222222,0.333333333333,48,26.000000,22.000000,42.000000,5.000000,1.18181818182,8.4,163,74.000000,89.000000,76.000000,87.000000,0.831460674157,0.873563218391,36,15.000000,21.000000,15.000000,21.000000,0.714285714286,0.714285714286,50,21.000000,29.000000,16.000000,34.000000,0.724137931034,0.470588235294,77,38.000000,39.000000,45.000000,32.000000,0.974358974359,1.40625
SNP,*,TS_boundary,PASS,*,QUAL,*,0.294118,0.439024,0.484277,0.35225,31,0,3030848912.000000,5110294.000000,0.000000,68,37.000000,31.000000,47.000000,20.000000,1.1935483871,2.35,20,11.000000,9.000000,5.000000,15.000000,1.22222222222,0.333333333333,48,26.000000,22.000000,42.000000,5.000000,1.18181818182,8.4,159,72.000000,87.000000,74.000000,85.000000,0.827586206897,0.870588235294,36,15.000000,21.000000,15.000000,21.000000,0.714285714286,0.714285714286,46,19.000000,27.000000,14.000000,32.000000,0.703703703704,0.4375,77,38.000000,39.000000,45.000000,32.000000,0.974358974359,1.40625
SNP,*,TS_contained,ALL,*,QUAL,*,0.010615,0.819762,0.0,0.020959,7955,0,5110294.000000,5110294.000000,0.000000,3460060,2342822.000000,1118021.000000,2117478.000000,1341145.000000,2.09550804502,1.57885836356,36730,25105.000000,11633.000000,16343.000000,20376.000000,2.15808475888,0.802071063997,3423330,2317717.000000,1106388.000000,2101135.000000,1320769.000000,2.09485008876,1.59084215332,44824,30649.000000,14184.000000,16460.000000,28352.000000,2.16081500282,0.580558690745,36745,25113.000000,11640.000000,16351.000000,20383.000000,2.1574742268,0.802188097925,8079,5536.000000,2544.000000,109.000000,7969.000000,2.17610062893,0.0136780022588,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.010615,0.81991,0.0,0.020958,7954,0,5110294.000000,5110294.000000,0.000000,3460060,2342822.000000,1118021.000000,2117478.000000,1341145.000000,2.09550804502,1.57885836356,36727,25104.000000,11631.000000,16342.000000,20374.000000,2.15836987361,0.8021007166,3423333,2317718.000000,1106390.000000,2101136.000000,1320771.000000,2.09484720578,1.59084050149,44811,30641.000000,14179.000000,16454.000000,28345.000000,2.16101276536,0.580490386312,36741,25112.000000,11637.000000,16349.000000,20381.000000,2.15794448741,0.802168686522,8070,5529.000000,2542.000000,105.000000,7964.000000,2.17505900865,0.0131843294827,0,0.000000,0.000000,0.000000,0.000000,,
